2018-08-18 00:37:43,505 websocket [reactor-tcp-io-1] ERROR org.springframework.messaging.simp.stomp.StompBrokerRelayMessageHandler - TCP connection failure in session _system_: No messages received in 12000 ms.
2018-08-18 00:37:44,290 websocket [reactor-tcp-io-1] INFO  org.springframework.messaging.simp.stomp.StompBrokerRelayMessageHandler - BrokerAvailabilityEvent[available=false, StompBrokerRelay[192.168.88.49:61613]]
2018-08-18 00:37:44,923 websocket [reactor-tcp-io-1] INFO  reactor.io.net.impl.netty.tcp.NettyTcpClient - CLOSED: [id: 0xcbf78349, L:/192.168.88.49:52458 ! R:/192.168.88.49:61613]
2018-08-18 00:37:44,924 websocket [reactor-tcp-io-1] INFO  reactor.io.net.impl.netty.tcp.NettyTcpClient - Failed to connect to reactor.io.net.impl.netty.tcp.NettyTcpClient$ReconnectingChannelListener$3@4bf7b289. Attempting reconnect in 5000ms.
2018-08-18 00:37:44,979 websocket [MessageBroker-2] INFO  org.springframework.web.socket.config.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 11 total, 0 closed abnormally (0 connect failure, 0 send limit, 9 transport error)], stompSubProtocol[processed CONNECT(10)-CONNECTED(10)-DISCONNECT(7)], stompBrokerRelay[1 sessions, 192.168.88.49:61613 (not available), processed CONNECT(11)-CONNECTED(13)-DISCONNECT(9)], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 354], outboundChannelpool size = 0, active threads = 0, queued tasks = 0, completed tasks = 114], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 1, completed tasks = 2843]
2018-08-18 00:37:44,982 websocket [MessageBroker-2] INFO  org.springframework.web.socket.config.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 11 total, 0 closed abnormally (0 connect failure, 0 send limit, 9 transport error)], stompSubProtocol[processed CONNECT(10)-CONNECTED(10)-DISCONNECT(7)], stompBrokerRelay[1 sessions, 192.168.88.49:61613 (not available), processed CONNECT(11)-CONNECTED(13)-DISCONNECT(9)], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 354], outboundChannelpool size = 0, active threads = 0, queued tasks = 0, completed tasks = 114], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 1, completed tasks = 3204]
2018-08-18 00:37:44,983 websocket [MessageBroker-2] INFO  org.springframework.web.socket.config.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 11 total, 0 closed abnormally (0 connect failure, 0 send limit, 9 transport error)], stompSubProtocol[processed CONNECT(10)-CONNECTED(10)-DISCONNECT(7)], stompBrokerRelay[1 sessions, 192.168.88.49:61613 (not available), processed CONNECT(11)-CONNECTED(13)-DISCONNECT(9)], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 354], outboundChannelpool size = 0, active threads = 0, queued tasks = 0, completed tasks = 114], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 1, completed tasks = 3565]
2018-08-18 00:37:44,992 websocket [MessageBroker-2] INFO  org.springframework.web.socket.config.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 11 total, 0 closed abnormally (0 connect failure, 0 send limit, 9 transport error)], stompSubProtocol[processed CONNECT(10)-CONNECTED(10)-DISCONNECT(7)], stompBrokerRelay[1 sessions, 192.168.88.49:61613 (not available), processed CONNECT(11)-CONNECTED(13)-DISCONNECT(9)], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 354], outboundChannelpool size = 0, active threads = 0, queued tasks = 0, completed tasks = 114], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 1, completed tasks = 3926]
2018-08-18 00:37:44,994 websocket [MessageBroker-2] INFO  org.springframework.web.socket.config.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 11 total, 0 closed abnormally (0 connect failure, 0 send limit, 9 transport error)], stompSubProtocol[processed CONNECT(10)-CONNECTED(10)-DISCONNECT(7)], stompBrokerRelay[1 sessions, 192.168.88.49:61613 (not available), processed CONNECT(11)-CONNECTED(13)-DISCONNECT(9)], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 354], outboundChannelpool size = 0, active threads = 0, queued tasks = 0, completed tasks = 114], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 1, completed tasks = 4287]
2018-08-18 00:37:46,871 websocket [MessageBroker-2] INFO  org.springframework.web.socket.config.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 11 total, 0 closed abnormally (0 connect failure, 0 send limit, 9 transport error)], stompSubProtocol[processed CONNECT(10)-CONNECTED(10)-DISCONNECT(7)], stompBrokerRelay[1 sessions, 192.168.88.49:61613 (not available), processed CONNECT(11)-CONNECTED(13)-DISCONNECT(9)], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 354], outboundChannelpool size = 0, active threads = 0, queued tasks = 0, completed tasks = 114], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 1, completed tasks = 6930]
2018-08-18 00:37:45,368 websocket [reactor-tcp-io-2] INFO  reactor.io.net.impl.netty.tcp.NettyTcpClient - Failed to connect to reactor.io.net.impl.netty.tcp.NettyTcpClient$ReconnectingChannelListener$3@750b2422. Attempting reconnect in 5000ms.
2018-08-18 00:37:46,871 websocket [MessageBroker-2] INFO  org.springframework.web.socket.config.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 11 total, 0 closed abnormally (0 connect failure, 0 send limit, 9 transport error)], stompSubProtocol[processed CONNECT(10)-CONNECTED(10)-DISCONNECT(7)], stompBrokerRelay[1 sessions, 192.168.88.49:61613 (not available), processed CONNECT(11)-CONNECTED(13)-DISCONNECT(9)], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 354], outboundChannelpool size = 0, active threads = 0, queued tasks = 0, completed tasks = 114], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 1, completed tasks = 6931]
